Date,Time,CO2_Level,Indoor_Temperature,Indoor_Humidity,Satisfaction
12/04/2012,00:00,198.9678705,20.55558727,77.46940332,91.8581
12/04/2012,00:15,198.6189856,19.55695417,73.26250159,93.06043
12/04/2012,00:30,198.8284003,20.14192222,76.03246265,92.32354
12/04/2012,00:45,198.4220655,19.01610121,74.2431184,92.53884
12/04/2012,01:00,198.9311405,20.58295954,72.03358387,93.561775
12/04/2012,01:15,199.2355374,20.25829607,52.56860841,93.98225
12/04/2012,01:30,199.2708616,19.50001259,71.65422244,94.121056
12/04/2012,01:45,199.3803484,18.51492237,76.43528708,93.71688
12/04/2012,02:00,200.0113598,19.98226432,75.61615218,93.45689
12/04/2012,02:15,201.1201699,18.84942514,76.45227361,93.4816
12/04/2012,02:30,201.6808175,18.57245389,74.44912408,93.80213
12/04/2012,02:45,203.1549048,18.30623267,74.81874034,93.770744
12/04/2012,03:00,202.682435,18.46630491,72.15946582,94.144554
12/04/2012,03:15,204.8030842,17.82768085,74.2562139,93.719536
12/04/2012,03:30,205.8122912,18.63366267,76.27336915,93.42007
12/04/2012,03:45,205.1414133,18.18692478,73.05018548,93.93412
12/04/2012,04:00,204.3567612,18.5761309,75.7270482,93.608665
12/04/2012,04:15,205.5980978,18.00574381,72.09594835,94.1662
12/04/2012,04:30,205.8450167,18.42742763,76.39074336,93.62628
12/04/2012,04:45,205.2220753,17.9605087,75.28359766,93.748215
12/04/2012,05:00,205.4143288,17.5111068,73.52244077,93.90888
12/04/2012,05:15,206.0565605,18.3129366,76.19889681,93.54332
12/04/2012,05:30,206.2639868,17.56427462,77.87656514,93.368034
12/04/2012,05:45,206.0637992,18.94392324,51.98348387,93.727
12/04/2012,06:00,206.4578349,18.86921422,76.69755582,93.4289
12/04/2012,06:15,206.5203582,18.14971566,78.56777563,93.34661
12/04/2012,06:30,205.9671169,17.73790076,75.26212716,93.762375
12/04/2012,06:45,205.5942711,18.73189812,73.69764446,93.96288
12/04/2012,07:00,204.8940578,18.72430302,52.62903755,93.9027
12/04/2012,07:15,205.0283685,18.03258475,74.60761608,93.852005
12/04/2012,09:00,200.2830375,18.30424707,70.0522922,94.441246
12/04/2012,09:15,200.106249,19.35541609,51.70877539,93.95001
12/04/2012,09:30,201.0348764,19.71006728,71.75801044,93.97775
12/04/2012,09:45,199.7090214,18.96433565,69.5770102,94.43929
12/04/2012,10:00,199.6192868,19.72564477,70.92317347,94.16328
12/04/2012,10:15,199.5093294,20.75679336,51.39818349,94.36979
12/04/2012,10:30,198.1830104,20.84078012,50.75809835,95.03793
12/04/2012,10:45,196.9631464,20.61715867,51.93041176,96.250694
12/04/2012,11:00,196.0860702,21.16463733,51.09726669,95.621635
12/04/2012,11:15,195.1181391,21.28195937,49.21672205,96.323235
12/04/2012,11:30,194.3478334,21.55983478,49.20718407,96.267654
12/04/2012,11:45,194.4319985,21.75717875,47.2272967,94.58935
12/04/2012,12:00,193.8315526,21.85240508,46.02367272,94.98328
12/04/2012,12:15,194.4685713,22.73118765,48.17642874,95.70803
12/04/2012,12:30,193.7069012,23.28789182,49.45587832,95.29656
12/04/2012,12:45,193.5431451,23.03175917,48.2612962,95.93401
12/04/2012,13:00,193.2993116,21.56018568,34.5316914,94.58017
12/04/2012,13:15,193.7262594,22.02132785,32.14936402,93.87504
12/04/2012,13:30,194.5310006,21.43551101,27.47276944,94.12558
12/04/2012,13:45,193.3071643,22.99147094,23.94672187,93.24229
12/04/2012,14:00,193.7104158,22.83528067,24.97083683,91.84103
12/04/2012,14:15,193.5719542,23.22038219,24.38211787,92.40131
12/04/2012,14:30,193.6916226,22.75192139,24.10209592,92.091156
12/04/2012,14:45,194.0505145,22.96330889,27.11072453,91.81155
12/04/2012,15:00,193.9152966,22.55747641,18.62883967,94.37158
12/04/2012,15:15,193.6155865,23.96712719,21.24060024,92.48444
12/04/2012,15:30,193.2738402,22.85948508,17.52749326,92.045654
12/04/2012,15:45,193.6826438,23.36600648,19.4935105,92.00275
12/04/2012,16:00,193.3686205,24.27690733,21.3695693,91.76342
12/04/2012,16:15,193.7436133,22.98798981,23.5077929,92.380424
12/04/2012,16:30,193.9152196,23.90678821,21.7895738,92.66773
12/04/2012,16:45,193.3315052,23.96409727,19.96713505,92.901436
12/04/2012,17:00,194.3216867,23.0230366,24.2696192,91.12881
12/04/2012,17:15,193.2324117,23.84484723,20.77373329,90.53186
12/04/2012,17:30,193.0199605,23.40849308,21.93935753,90.42159
12/04/2012,17:45,192.9745051,22.92950635,21.55002009,91.29874
12/04/2012,18:00,192.7294979,23.69623003,26.36029904,92.20963
12/04/2012,18:15,192.594789,24.28557065,38.09952303,92.62201
12/04/2012,18:30,191.8272088,23.67108264,23.48039228,91.47585
12/04/2012,18:45,192.8422941,22.81667878,28.44925656,90.14167
12/04/2012,19:00,192.785041,22.92049303,28.7478437,91.99976
